Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,1/2/2014,10/24/2017,71.1%,82.9%,86.3%,89.1%,90.4%,93.9%,96.0%,97.1%,98.0%,98.6%,99.9%,100.0%,100.0%,100.0%,100.0%
Since joining CNCF,10/24/2017,4/17/2018,86.1%,91.2%,93.0%,94.6%,95.2%,97.1%,98.3%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014,1/2/2014,1/1/2015,78.5%,90.9%,94.4%,96.2%,97.3%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015,1/1/2015,1/1/2016,68.7%,74.6%,78.4%,82.1%,85.8%,94.8%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,55.2%,80.3%,86.0%,88.6%,90.2%,96.7%,98.9%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,81.8%,86.4%,89.1%,91.5%,93.7%,97.5%,98.7%,99.3%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,86.0%,91.8%,92.6%,93.1%,93.7%,96.3%,98.2%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2014,1/1/2014,2/1/2014,86.2%,93.8%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2014,2/1/2014,3/1/2014,70.3%,91.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2014,3/1/2014,4/1/2014,71.4%,88.6%,94.3%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2014,4/1/2014,5/1/2014,83.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2014,5/1/2014,6/1/2014,61.5%,84.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
