Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
01/2014,1/1/2014,2/1/2014,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%
02/2014,2/1/2014,3/1/2014,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2014,3/1/2014,4/1/2014,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%
04/2014,4/1/2014,5/1/2014,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%
05/2014,5/1/2014,6/1/2014,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%
06/2014,6/1/2014,7/1/2014,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%
07/2014,7/1/2014,8/1/2014,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2014,8/1/2014,9/1/2014,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2014,9/1/2014,10/1/2014,,,,,,,,,,,,,,,
10/2014,10/1/2014,11/1/2014,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2014,11/1/2014,12/1/2014,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2014,12/1/2014,1/1/2015,,,,,,,,,,,,,,,
01/2015,1/1/2015,2/1/2015,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%
02/2015,2/1/2015,3/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%
04/2015,4/1/2015,5/1/2015,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%
05/2015,5/1/2015,6/1/2015,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%
06/2015,6/1/2015,7/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,,,,,,,,,,,,,,,
08/2015,8/1/2015,9/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,,,,,,,,,,,,,,,
10/2015,10/1/2015,11/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%
03/2016,3/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,,,,,,,,,,,,,,,
05/2016,5/1/2016,6/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
