Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
01/2014,1/1/2014,2/1/2014,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%
02/2014,2/1/2014,3/1/2014,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%,70.3%
03/2014,3/1/2014,4/1/2014,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%
04/2014,4/1/2014,5/1/2014,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%
05/2014,5/1/2014,6/1/2014,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%
06/2014,6/1/2014,7/1/2014,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%
07/2014,7/1/2014,8/1/2014,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%
08/2014,8/1/2014,9/1/2014,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%
09/2014,9/1/2014,10/1/2014,,,,,,,,,,,,,,,
10/2014,10/1/2014,11/1/2014,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%
11/2014,11/1/2014,12/1/2014,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%
12/2014,12/1/2014,1/1/2015,,,,,,,,,,,,,,,
01/2015,1/1/2015,2/1/2015,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%
02/2015,2/1/2015,3/1/2015,75.0%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%
03/2015,3/1/2015,4/1/2015,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%
04/2015,4/1/2015,5/1/2015,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%
05/2015,5/1/2015,6/1/2015,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%
06/2015,6/1/2015,7/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,,,,,,,,,,,,,,,
10/2015,10/1/2015,11/1/2015,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%
11/2015,11/1/2015,12/1/2015,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%
12/2015,12/1/2015,1/1/2016,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%
01/2016,1/1/2016,2/1/2016,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%
