Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%
Quarter from 04/2014,4/1/2014,7/1/2014,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%
Quarter from 07/2014,7/1/2014,10/1/2014,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%
Quarter from 10/2014,10/1/2014,1/1/2015,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%
Quarter from 01/2015,1/1/2015,4/1/2015,65.8%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%
Quarter from 04/2015,4/1/2015,7/1/2015,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%
Quarter from 07/2015,7/1/2015,10/1/2015,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%
Quarter from 10/2015,10/1/2015,1/1/2016,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%
Quarter from 01/2016,1/1/2016,4/1/2016,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%
Quarter from 04/2016,4/1/2016,7/1/2016,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%
Quarter from 07/2016,7/1/2016,10/1/2016,57.5%,60.6%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%
Quarter from 10/2016,10/1/2016,1/1/2017,61.1%,62.6%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%
Quarter from 01/2017,1/1/2017,4/1/2017,86.1%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%
Quarter from 04/2017,4/1/2017,7/1/2017,84.5%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%
Quarter from 07/2017,7/1/2017,10/1/2017,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
Quarter from 10/2017,10/1/2017,1/1/2018,93.0%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%
Quarter from 01/2018,1/1/2018,4/1/2018,91.6%,93.5%,94.5%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%
Quarter from 04/2018,4/1/2018,7/1/2018,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
