ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2014-01-02T00:00:00Z,2017-10-24T00:00:00Z,Before joining CNCF,1391,1714,850,274,590,424,1164,52,6,31,33,13,45,6,2,5,3,3,6,1.2322070452911575,0.6110711718188354,0.196980589503954,0.4241552839683681,0.30481667864845435,0.8368080517613228,vladimir-v-diaz,NYU,1,1219,71.1201866977829638,NYU,1327,77.4212368728121354,vladimir-v-diaz,NYU,1,629,74.0000000000000000,NYU,691,81.2941176470588235,vladimir-v-diaz,NYU,1,130,47.4452554744525547,NYU,145,52.9197080291970803,vladimir-v-diaz,NYU,1,460,77.9661016949152542,NYU,491,83.2203389830508475,vladimir-v-diaz,NYU,1,157,37.0283018867924528,NYU,271,63.9150943396226415,vladimir-v-diaz,NYU,1,471,40.4639175257731959,NYU,682,58.5910652920962199
2,2017-10-24T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,175,588,202,93,293,35,192,25,6,12,17,8,18,4,3,2,4,1,3,3.36,1.1542857142857144,0.5314285714285715,1.6742857142857144,0.2,1.0971428571428572,vladimir-v-diaz,NYU,1,506,86.0544217687074830,NYU,549,93.3673469387755102,vladimir-v-diaz,NYU,1,190,94.0594059405940594,NYU,199,98.5148514851485149,vladimir-v-diaz,NYU,1,55,59.1397849462365591,NYU,74,79.5698924731182796,vladimir-v-diaz,NYU,1,261,89.0784982935153584,NYU,276,94.1979522184300341,lukpueh,NYU,1,14,40.0000000000000000,NYU,29,82.8571428571428571,vladimir-v-diaz,NYU,1,100,52.0833333333333333,NYU,132,68.7500000000000000
1001,2014-01-02T00:00:00Z,2015-01-01T00:00:00Z,2014,364,372,172,72,128,89,174,11,3,9,6,5,7,1,1,1,1,1,2,1.021978021978022,0.4725274725274725,0.1978021978021978,0.3516483516483517,0.2445054945054945,0.47802197802197804,vladimir-v-diaz,NYU,1,292,78.4946236559139785,NYU,305,81.9892473118279570,vladimir-v-diaz,NYU,1,143,83.1395348837209302,NYU,153,88.9534883720930233,vladimir-v-diaz,NYU,1,35,48.6111111111111111,NYU,38,52.7777777777777778,vladimir-v-diaz,NYU,1,114,89.0625000000000000,NYU,114,89.0625000000000000,vladimir-v-diaz,NYU,1,49,55.0561797752808989,NYU,51,57.3033707865168539,vladimir-v-diaz,NYU,1,83,47.7011494252873563,NYU,95,54.5977011494252874
1002,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2015,365,134,53,45,36,9,121,17,3,11,6,1,15,2,1,1,2,0,1,0.36712328767123287,0.14520547945205478,0.1232876712328767,0.09863013698630137,0.024657534246575342,0.3315068493150685,vladimir-v-diaz,NYU,1,92,68.6567164179104478,NYU,94,70.1492537313432836,vladimir-v-diaz,NYU,1,47,88.6792452830188679,NYU,48,90.5660377358490566,vladimir-v-diaz,NYU,1,14,31.1111111111111111,NYU,14,31.1111111111111111,vladimir-v-diaz,NYU,1,31,86.1111111111111111,NYU,32,88.8888888888888889,aaaaalbert,,0,9,100.0000000000000000,,,,vladimir-v-diaz,NYU,1,59,48.7603305785123967,NYU,64,52.8925619834710744
1003,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2016,366,542,287,96,159,141,376,21,5,15,14,8,25,4,1,4,2,2,4,1.4808743169398908,0.7841530054644809,0.26229508196721313,0.4344262295081967,0.38524590163934425,1.0273224043715847,vladimir-v-diaz,NYU,1,299,55.1660516605166052,NYU,344,63.4686346863468635,vladimir-v-diaz,NYU,1,141,49.1289198606271777,NYU,169,58.8850174216027875,vladimir-v-diaz,NYU,1,43,44.7916666666666667,NYU,53,55.2083333333333333,vladimir-v-diaz,NYU,1,115,72.3270440251572327,NYU,122,76.7295597484276730,awwad,NYU,1,50,35.4609929078014184,NYU,94,66.6666666666666667,vladimir-v-diaz,NYU,1,146,38.8297872340425532,NYU,213,56.6489361702127660
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,875,411,98,366,191,567,26,6,9,22,12,24,4,2,2,3,3,4,2.3972602739726026,1.126027397260274,0.2684931506849315,1.0027397260273974,0.5232876712328767,1.5534246575342465,vladimir-v-diaz,NYU,1,716,81.8285714285714286,NYU,781,89.2571428571428571,vladimir-v-diaz,NYU,1,366,89.0510948905109489,NYU,394,95.8637469586374696,vladimir-v-diaz,NYU,1,60,61.2244897959183673,NYU,68,69.3877551020408163,vladimir-v-diaz,NYU,1,290,79.2349726775956284,NYU,319,87.1584699453551913,vladimir-v-diaz,NYU,1,66,34.5549738219895288,NYU,130,68.0628272251308901,vladimir-v-diaz,NYU,1,223,39.3298059964726631,NYU,363,64.0211640211640212
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,379,129,56,194,29,118,22,6,10,15,6,16,4,3,2,4,1,3,3.5754716981132075,1.2169811320754718,0.5283018867924528,1.830188679245283,0.27358490566037735,1.1132075471698113,vladimir-v-diaz,NYU,1,326,86.0158311345646438,NYU,352,92.8759894459102902,vladimir-v-diaz,NYU,1,122,94.5736434108527132,NYU,126,97.6744186046511628,vladimir-v-diaz,NYU,1,33,58.9285714285714286,NYU,46,82.1428571428571429,vladimir-v-diaz,NYU,1,171,88.1443298969072165,NYU,180,92.7835051546391753,lukpueh,NYU,1,13,44.8275862068965517,NYU,25,86.2068965517241379,vladimir-v-diaz,NYU,1,60,50.8474576271186441,NYU,79,66.9491525423728814
2001,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,01/2014,31,65,43,18,4,4,49,4,2,3,2,3,3,1,1,1,1,1,1,2.096774193548387,1.3870967741935485,0.5806451612903226,0.12903225806451613,0.12903225806451613,1.5806451612903225,vladimir-v-diaz,NYU,1,56,86.1538461538461538,NYU,59,90.7692307692307692,vladimir-v-diaz,NYU,1,39,90.6976744186046512,NYU,39,90.6976744186046512,vladimir-v-diaz,NYU,1,14,77.7777777777777778,NYU,17,94.4444444444444444,vladimir-v-diaz,NYU,1,3,75.0000000000000000,NYU,3,75.0000000000000000,JustinCappos,NYU,1,2,50.0000000000000000,NYU,3,75.0000000000000000,vladimir-v-diaz,NYU,1,30,61.2244897959183673,NYU,35,71.4285714285714286
2002,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,02/2014,28,37,21,16,0,19,33,3,1,3,0,3,6,1,1,1,0,1,2,1.3214285714285714,0.75,0.5714285714285714,0,0.6785714285714286,1.1785714285714286,vladimir-v-diaz,NYU,1,26,70.2702702702702703,NYU,26,70.2702702702702703,vladimir-v-diaz,NYU,1,21,100.0000000000000000,NYU,21,100.0000000000000000,dachshund,,0,8,50.0000000000000000,NYU,5,31.2500000000000000,,,,,,,,,SantiagoTorres,,0,10,52.6315789473684211,NYU,4,21.0526315789473684,vladimir-v-diaz,NYU,1,16,48.4848484848484848,NYU,18,54.5454545454545455
2003,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,03/2014,31,35,12,10,13,22,27,5,3,3,3,2,4,1,1,1,1,1,1,1.1290322580645162,0.3870967741935484,0.3225806451612903,0.41935483870967744,0.7096774193548387,0.8709677419354839,vladimir-v-diaz,NYU,1,25,71.4285714285714286,NYU,27,77.1428571428571429,vladimir-v-diaz,NYU,1,8,66.6666666666666667,NYU,10,83.3333333333333333,vladimir-v-diaz,NYU,1,7,70.0000000000000000,NYU,7,70.0000000000000000,vladimir-v-diaz,NYU,1,10,76.9230769230769231,NYU,10,76.9230769230769231,dachshund,,0,14,63.6363636363636364,NYU,8,36.3636363636363636,dachshund,,0,14,51.8518518518518519,NYU,11,40.7407407407407407
