Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Before joining CNCF,1/2/2014,2/5/2018,YouTube,"YouTube,Google","YouTube,Google,Koding","YouTube,Google,Koding,h2o.ai","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean"
Since joining CNCF,2/5/2018,4/17/2018,YouTube,"YouTube,Google","YouTube,Google,PlanetScale Data","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle"
2014,1/2/2014,1/1/2015,YouTube,"YouTube,Google","YouTube,Google,Koding","YouTube,Google,Koding,h2o.ai","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean","YouTube,Google,Koding,h2o.ai,DigitalOcean"
2015,1/1/2015,1/1/2016,Google,"Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube"
2016,1/1/2016,1/1/2017,Google,"Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube"
2017,1/1/2017,1/1/2018,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
2018,1/1/2018,4/17/2018,YouTube,"YouTube,Google","YouTube,Google,PlanetScale Data","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle","YouTube,Google,PlanetScale Data,Nozzle"
01/2014,1/1/2014,2/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
02/2014,2/1/2014,3/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
03/2014,3/1/2014,4/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
04/2014,4/1/2014,5/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
05/2014,5/1/2014,6/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
06/2014,6/1/2014,7/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
07/2014,7/1/2014,8/1/2014,Google,"Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube"
08/2014,8/1/2014,9/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
09/2014,9/1/2014,10/1/2014,YouTube,"YouTube,Google","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai"
10/2014,10/1/2014,11/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
11/2014,11/1/2014,12/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
12/2014,12/1/2014,1/1/2015,Google,"Google,YouTube","Google,YouTube,Koding","Google,YouTube,Koding,DigitalOcean","Google,YouTube,Koding,DigitalOcean","Google,YouTube,Koding,DigitalOcean","Google,YouTube,Koding,DigitalOcean","Google,YouTube,Koding,DigitalOcean","Google,YouTube,Koding,DigitalOcean","Google,YouTube,Koding,DigitalOcean","Google,YouTube,Koding,DigitalOcean","Google,YouTube,Koding,DigitalOcean","Google,YouTube,Koding,DigitalOcean","Google,YouTube,Koding,DigitalOcean","Google,YouTube,Koding,DigitalOcean"
01/2015,1/1/2015,2/1/2015,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
