Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
Before joining CNCF,1/2/2014,2/5/2018,30.7%,54.4%,65.5%,73.9%,78.8%,92.6%,96.3%,98.4%,99.3%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%
Since joining CNCF,2/5/2018,4/17/2018,39.9%,61.5%,75.0%,86.5%,96.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014,1/2/2014,1/1/2015,40.2%,64.7%,74.8%,84.0%,87.3%,95.4%,98.4%,99.1%,99.5%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%
2015,1/1/2015,1/1/2016,33.5%,49.4%,62.4%,71.4%,79.9%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,18.2%,36.2%,54.1%,69.9%,77.7%,95.7%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,50.6%,77.3%,91.7%,95.4%,97.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,30.4%,50.7%,66.7%,82.1%,90.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2014,1/1/2014,2/1/2014,64.1%,94.9%,97.4%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2014,2/1/2014,3/1/2014,55.0%,89.3%,94.1%,97.6%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2014,3/1/2014,4/1/2014,56.4%,89.1%,96.2%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2014,4/1/2014,5/1/2014,44.8%,80.8%,88.4%,94.2%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2014,5/1/2014,6/1/2014,68.7%,83.7%,89.8%,93.9%,96.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/1/2014,7/1/2014,50.3%,72.9%,80.1%,85.1%,89.5%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2014,7/1/2014,8/1/2014,25.1%,49.7%,71.7%,88.2%,92.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2014,8/1/2014,9/1/2014,43.8%,73.1%,90.4%,95.9%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
