Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
01/2014,1/1/2014,2/1/2014,94.5%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%
02/2014,2/1/2014,3/1/2014,88.0%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%
03/2014,3/1/2014,4/1/2014,89.1%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%
04/2014,4/1/2014,5/1/2014,77.5%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%
05/2014,5/1/2014,6/1/2014,78.2%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%
06/2014,6/1/2014,7/1/2014,71.2%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
07/2014,7/1/2014,8/1/2014,50.5%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%
08/2014,8/1/2014,9/1/2014,59.1%,96.6%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
09/2014,9/1/2014,10/1/2014,53.6%,88.7%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%
10/2014,10/1/2014,11/1/2014,51.6%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%
11/2014,11/1/2014,12/1/2014,57.0%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%
12/2014,12/1/2014,1/1/2015,51.5%,90.4%,91.8%,92.2%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%
01/2015,1/1/2015,2/1/2015,57.3%,97.4%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%
02/2015,2/1/2015,3/1/2015,63.6%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%
03/2015,3/1/2015,4/1/2015,48.7%,93.2%,97.8%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
04/2015,4/1/2015,5/1/2015,68.8%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%
05/2015,5/1/2015,6/1/2015,57.3%,99.6%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%
06/2015,6/1/2015,7/1/2015,60.3%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%
07/2015,7/1/2015,8/1/2015,59.6%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%
08/2015,8/1/2015,9/1/2015,63.0%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
09/2015,9/1/2015,10/1/2015,59.6%,94.4%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%
10/2015,10/1/2015,11/1/2015,58.4%,96.2%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
11/2015,11/1/2015,12/1/2015,50.9%,97.0%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%
12/2015,12/1/2015,1/1/2016,56.5%,96.3%,97.2%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
01/2016,1/1/2016,2/1/2016,53.6%,92.9%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%
02/2016,2/1/2016,3/1/2016,47.6%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%
03/2016,3/1/2016,4/1/2016,50.3%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%
04/2016,4/1/2016,5/1/2016,57.0%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%
05/2016,5/1/2016,6/1/2016,55.8%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%
06/2016,6/1/2016,7/1/2016,66.7%,90.4%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%
07/2016,7/1/2016,8/1/2016,55.7%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%
08/2016,8/1/2016,9/1/2016,75.8%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%
09/2016,9/1/2016,10/1/2016,66.9%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%
10/2016,10/1/2016,11/1/2016,56.2%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%
11/2016,11/1/2016,12/1/2016,46.6%,85.3%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%
12/2016,12/1/2016,1/1/2017,52.7%,81.0%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%
01/2017,1/1/2017,2/1/2017,45.7%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%
02/2017,2/1/2017,3/1/2017,47.0%,84.0%,85.4%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%
03/2017,3/1/2017,4/1/2017,48.5%,83.5%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%
04/2017,4/1/2017,5/1/2017,58.9%,85.5%,86.5%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%
05/2017,5/1/2017,6/1/2017,61.7%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%
06/2017,6/1/2017,7/1/2017,70.0%,82.1%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%
07/2017,7/1/2017,8/1/2017,56.6%,73.6%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%
08/2017,8/1/2017,9/1/2017,57.2%,68.8%,73.2%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%
09/2017,9/1/2017,10/1/2017,37.8%,75.3%,78.4%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%
10/2017,10/1/2017,11/1/2017,56.9%,77.0%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%
11/2017,11/1/2017,12/1/2017,73.8%,75.7%,77.2%,77.7%,78.2%,78.2%,78.2%,78.2%,78.2%,78.2%,78.2%,78.2%,78.2%,78.2%,78.2%
12/2017,12/1/2017,1/1/2018,79.7%,83.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%
01/2018,1/1/2018,2/1/2018,55.7%,64.6%,72.2%,75.9%,76.9%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%
02/2018,2/1/2018,3/1/2018,45.8%,57.5%,64.5%,70.1%,74.3%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%
03/2018,3/1/2018,4/1/2018,22.3%,41.3%,57.9%,63.6%,65.2%,66.0%,66.0%,66.0%,66.0%,66.0%,66.0%,66.0%,66.0%,66.0%,66.0%
04/2018,4/1/2018,5/1/2018,43.1%,67.2%,71.6%,73.3%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%
