Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
01/2014,1/1/2014,2/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
02/2014,2/1/2014,3/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
03/2014,3/1/2014,4/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
04/2014,4/1/2014,5/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
05/2014,5/1/2014,6/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
06/2014,6/1/2014,7/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
07/2014,7/1/2014,8/1/2014,Google,"Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube","Google,YouTube"
08/2014,8/1/2014,9/1/2014,YouTube,"YouTube,Google","YouTube,Google,Kingsoft","YouTube,Google,Kingsoft","YouTube,Google,Kingsoft","YouTube,Google,Kingsoft","YouTube,Google,Kingsoft","YouTube,Google,Kingsoft","YouTube,Google,Kingsoft","YouTube,Google,Kingsoft","YouTube,Google,Kingsoft","YouTube,Google,Kingsoft","YouTube,Google,Kingsoft","YouTube,Google,Kingsoft","YouTube,Google,Kingsoft"
09/2014,9/1/2014,10/1/2014,YouTube,"YouTube,Google","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai","YouTube,Google,h2o.ai"
10/2014,10/1/2014,11/1/2014,YouTube,"YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google","YouTube,Google"
