Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,91.6%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%
Quarter from 04/2014,4/1/2014,7/1/2014,78.8%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
Quarter from 07/2014,7/1/2014,10/1/2014,54.6%,94.6%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%
Quarter from 10/2014,10/1/2014,1/1/2015,49.7%,92.7%,93.5%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%
Quarter from 01/2015,1/1/2015,4/1/2015,53.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,54.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,57.9%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%
Quarter from 10/2015,10/1/2015,1/1/2016,53.5%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Quarter from 01/2016,1/1/2016,4/1/2016,45.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%
Quarter from 04/2016,4/1/2016,7/1/2016,62.4%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%
Quarter from 07/2016,7/1/2016,10/1/2016,69.5%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%
Quarter from 10/2016,10/1/2016,1/1/2017,45.3%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%
Quarter from 01/2017,1/1/2017,4/1/2017,54.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,63.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,67.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,94.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,59.3%,78.0%,90.4%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%
Quarter from 04/2018,4/1/2018,7/1/2018,56.7%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%
