Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,51.9%,91.0%,94.2%,96.6%,98.6%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2014,4/1/2014,7/1/2014,51.6%,75.5%,80.8%,85.7%,88.5%,96.3%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,35.0%,58.3%,76.8%,85.8%,89.6%,97.7%,99.1%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2014,10/1/2014,1/1/2015,27.0%,46.4%,62.4%,75.1%,80.7%,95.7%,98.5%,99.3%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,29.5%,43.5%,55.4%,66.3%,77.1%,96.3%,98.7%,99.5%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,38.7%,55.7%,70.5%,79.3%,87.8%,98.6%,99.4%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,19.5%,36.3%,52.7%,66.9%,74.6%,97.1%,99.0%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,22.0%,40.9%,57.9%,73.3%,86.5%,97.4%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,24.1%,42.5%,56.0%,68.3%,76.5%,92.5%,97.1%,99.0%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,26.2%,46.8%,65.0%,74.4%,78.1%,92.2%,97.6%,99.1%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,30.2%,47.6%,62.4%,74.2%,80.6%,94.8%,97.7%,98.9%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,24.2%,44.9%,57.6%,68.3%,76.6%,90.7%,96.1%,98.3%,99.1%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,28.1%,48.9%,67.2%,73.4%,79.5%,91.7%,95.2%,97.3%,98.6%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,40.0%,64.2%,77.0%,82.8%,85.8%,93.6%,96.4%,98.0%,99.1%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,44.2%,68.0%,74.3%,78.3%,81.7%,92.7%,95.7%,97.4%,98.5%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,58.2%,70.8%,76.5%,81.6%,84.7%,92.4%,96.3%,98.1%,99.0%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,22.6%,39.1%,51.1%,61.5%,70.9%,86.0%,90.6%,93.6%,95.7%,97.2%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2018,4/1/2018,7/1/2018,41.4%,65.5%,75.9%,81.9%,85.3%,95.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
