ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2014-01-02T00:00:00Z,2018-02-05T00:00:00Z,Before joining CNCF,1495,14316,7292,844,6180,3159,7950,222,52,132,127,63,179,21,5,13,17,8,20,9.575919732441472,4.877591973244147,0.5645484949832776,4.133779264214047,2.1130434782608694,5.317725752508361,"alainjobart,sougou,michael-berlin,enisoc","YouTube,Google",2,9875,68.9787650181614976,"YouTube,Google,Nozzle,MyFitnessPal",13028,91.0030734842134674,"alainjobart,sougou,enisoc,michael-berlin","YouTube,Google",2,5392,73.9440482720789907,"YouTube,Google,Koding,h2o.ai",7022,96.2973121228743829,"sougou,enisoc,michael-berlin,tirsen","YouTube,Google",2,365,43.2464454976303318,"YouTube,Google,Nozzle,Netroby",419,49.6445497630331754,"alainjobart,sougou,michael-berlin,enisoc","YouTube,Google",2,4130,66.8284789644012945,"Google,YouTube,MyFitnessPal,Nozzle",5605,90.6957928802588997,"alainjobart,sougou,michael-berlin,enisoc","YouTube,Google",2,1825,57.7714466603355492,"Google,YouTube,Nozzle,MyFitnessPal",2616,82.8110161443494777,"alainjobart,sougou,enisoc,michael-berlin","YouTube,Google",2,4780,60.1257861635220126,"YouTube,Google,Nozzle,MyFitnessPal",6091,76.6163522012578616
2,2018-02-05T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,71,543,148,66,329,258,496,40,6,22,32,25,44,7,4,6,7,8,8,7.647887323943662,2.084507042253521,0.9295774647887324,4.633802816901408,3.6338028169014085,6.985915492957746,"alainjobart,sougou,demmer,michael-berlin","YouTube,PlanetScale Data,Google",3,346,63.7200736648250460,"YouTube,Google,PlanetScale Data,Nozzle",356,65.5616942909760589,"alainjobart,sougou,enisoc,michael-berlin","YouTube,PlanetScale Data,Google",3,128,86.4864864864864865,"YouTube,Google,PlanetScale Data,Nozzle",133,89.8648648648648649,"sougou,zanes2016,demmer,derekperkins","PlanetScale Data,Nozzle",2,32,48.4848484848484848,"PlanetScale Data,Nozzle,YouTube,MyFitnessPal",29,43.9393939393939394,"alainjobart,sougou,demmer,michael-berlin","YouTube,PlanetScale Data,Google",3,197,59.8784194528875380,"YouTube,Google,PlanetScale Data,Nozzle",196,59.5744680851063830,"sougou,demmer,alainjobart,rafael","PlanetScale Data,YouTube,MyFitnessPal",3,191,74.0310077519379845,"PlanetScale Data,YouTube,MyFitnessPal,Google",144,55.8139534883720930,"sougou,alainjobart,demmer,derekperkins","PlanetScale Data,YouTube,Nozzle",3,279,56.2500000000000000,"PlanetScale Data,YouTube,Google,Nozzle",271,54.6370967741935484
1001,2014-01-02T00:00:00Z,2015-01-01T00:00:00Z,2014,364,3230,2755,30,445,103,425,58,40,17,37,12,35,7,5,3,6,2,5,8.873626373626374,7.568681318681318,0.08241758241758242,1.2225274725274726,0.28296703296703296,1.1675824175824177,"alainjobart,sougou,enisoc,henryanand","YouTube,Google",2,2612,80.8668730650154799,"YouTube,Google,Koding,h2o.ai",3065,94.8916408668730650,"alainjobart,sougou,henryanand,enisoc","YouTube,Google",2,2315,84.0290381125226860,"YouTube,Google,Koding,h2o.ai",2638,95.7531760435571688,"enisoc,sougou,zhengyang4k,watsonjiang","Google,YouTube",2,15,50.0000000000000000,"Google,YouTube,Kingsoft",14,46.6666666666666667,"alainjobart,enisoc,sougou,plobsing","YouTube,Google",2,307,68.9887640449438202,"Google,YouTube,DigitalOcean,DrEd Online Doctor",415,93.2584269662921348,"sougou,aaijazi,alainjobart,enisoc","YouTube,Google",2,64,62.1359223300970874,"Google,YouTube",86,83.4951456310679612,"alainjobart,enisoc,sougou,henryanand","YouTube,Google",2,279,65.6470588235294118,"Google,YouTube,DigitalOcean,Koding",370,87.0588235294117647
1002,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2015,365,4699,2427,115,2157,943,2348,54,14,37,28,20,49,8,2,7,6,4,8,12.873972602739727,6.64931506849315,0.3150684931506849,5.909589041095891,2.5835616438356164,6.432876712328767,"alainjobart,enisoc,sougou,michael-berlin","YouTube,Google",2,3056,65.0351138540114918,"Google,YouTube,Netroby,Reliance",4594,97.7654820174505214,"alainjobart,sougou,enisoc,guoliang100","YouTube,Google",2,1732,71.3638236505974454,"Google,YouTube",2416,99.5467655541821178,"enisoc,netroby,mitiger,gosharplite","Google,Netroby,Ubisoft",3,50,43.4782608695652174,"Google,Netroby,YouTube,Ubisoft",64,55.6521739130434783,"alainjobart,enisoc,michael-berlin,yaoshengzhe","YouTube,Google",2,1445,66.9911914696337506,"Google,YouTube,Netroby,Reliance",2116,98.0992118683356514,"alainjobart,enisoc,sougou,michael-berlin","YouTube,Google",2,548,58.1124072110286320,"Google,YouTube,Superbalist,Koding",920,97.5609756097560976,"alainjobart,enisoc,sougou,aaijazi","YouTube,Google",2,1568,66.7802385008517888,"Google,YouTube,Ubisoft,Netroby",2194,93.4412265758091993
1003,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2016,366,3266,1272,216,1778,826,2421,69,17,49,42,24,64,5,2,4,4,2,4,8.923497267759563,3.4754098360655736,0.5901639344262295,4.85792349726776,2.2568306010928962,6.614754098360656,"michael-berlin,alainjobart,enisoc,sougou","Google,YouTube",2,2258,69.1365584813227189,"Google,YouTube,Nozzle,Signal Sciences",2889,88.4568279240661359,"sougou,enisoc,michael-berlin,alainjobart","YouTube,Google",2,889,69.8899371069182390,"Google,YouTube",1130,88.8364779874213836,"enisoc,sougou,alainjobart,tirsen","Google,YouTube",2,96,44.4444444444444444,"Google,YouTube,Nozzle,Eight-s",103,47.6851851851851852,"alainjobart,michael-berlin,enisoc,sougou","YouTube,Google",2,1282,72.1034870641169854,"Google,YouTube,Signal Sciences,Eight-s",1658,93.2508436445444319,"alainjobart,sougou,pivanof,michael-berlin","YouTube,Google",2,528,63.9225181598062954,"YouTube,Google",753,91.1622276029055690,"alainjobart,enisoc,michael-berlin,sougou","YouTube,Google",2,1634,67.4927715819909128,"Google,YouTube,Nozzle,Eight-s",2002,82.6931020239570425
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,2875,779,437,1659,1117,2493,74,9,46,56,36,70,7,2,5,6,5,8,7.876712328767123,2.1342465753424658,1.1972602739726028,4.545205479452055,3.0602739726027397,6.83013698630137,"sougou,michael-berlin,alainjobart,bbeaudreault","YouTube,Google",2,2218,77.1478260869565217,"YouTube,Google,MyFitnessPal,Nozzle",2333,81.1478260869565217,"sougou,michael-berlin,alainjobart,thompsonja","YouTube,Google",2,743,95.3786906290115533,"YouTube,Google",779,100.0000000000000000,"sougou,michael-berlin,bbeaudreault,sjmudd","YouTube,Google",2,265,60.6407322654462243,"YouTube,Google,Nozzle,MyFitnessPal",228,52.1739130434782609,"sougou,michael-berlin,alainjobart,bbeaudreault","YouTube,Google",2,1257,75.7685352622061483,"YouTube,Google,MyFitnessPal,Nozzle",1326,79.9276672694394213,"sougou,alainjobart,michael-berlin,bbeaudreault","YouTube,Google",2,804,71.9785138764547896,"YouTube,Google,MyFitnessPal,Nozzle",771,69.0241718889883617,"sougou,bbeaudreault,alainjobart,michael-berlin","YouTube,Google",2,1684,67.5491375852386683,"YouTube,Google,MyFitnessPal,Nozzle",1379,55.3148816686722824
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,789,207,112,470,428,759,50,6,32,35,28,56,9,4,8,8,9,10,7.443396226415095,1.9528301886792452,1.0566037735849056,4.433962264150943,4.037735849056604,7.160377358490566,"alainjobart,sougou,sougou,enisoc","YouTube,PlanetScale Data,Google",3,444,56.2737642585551331,"YouTube,Google,PlanetScale Data,Nozzle",539,68.3143219264892269,"alainjobart,sougou,enisoc,sougou","YouTube,Google,PlanetScale Data",3,170,82.1256038647342995,"YouTube,Google,PlanetScale Data,Nozzle",192,92.7536231884057971,"derekperkins,sougou,dweitzman,demmer","Nozzle,PlanetScale Data",2,46,41.0714285714285714,"Nozzle,PlanetScale Data,YouTube,Google",49,43.7500000000000000,"alainjobart,sougou,demmer,sougou","YouTube,PlanetScale Data",2,250,53.1914893617021277,"YouTube,Google,PlanetScale Data,Nozzle",298,63.4042553191489362,"demmer,sougou,alainjobart,derekperkins","PlanetScale Data,YouTube,Nozzle",3,243,56.7757009345794393,"YouTube,PlanetScale Data,Google,Nozzle",215,50.2336448598130841,"sougou,alainjobart,derekperkins,sougou","PlanetScale Data,YouTube,Nozzle",3,381,50.1976284584980237,"YouTube,PlanetScale Data,Nozzle,Google",446,58.7615283267457181
2001,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,01/2014,31,235,234,1,0,0,4,6,5,1,0,0,2,2,2,0,0,0,1,7.580645161290323,7.548387096774194,0.03225806451612903,0,0,0.12903225806451613,"alainjobart,sougou,ryszard,shrutip","YouTube,Google",2,231,98.2978723404255319,"YouTube,Google",234,99.5744680851063830,"alainjobart,sougou,ryszard,shrutip","YouTube,Google",2,231,98.7179487179487179,"YouTube,Google",234,100.0000000000000000,stephenmw,,0,1,100.0000000000000000,,,,,,,,,,,,,,,,,,,,"sougou,stephenmw",YouTube,1,4,100.0000000000000000,YouTube,2,50.0000000000000000
2002,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,02/2014,28,175,169,2,4,0,6,9,8,2,3,0,3,2,2,1,1,0,1,6.25,6.035714285714286,0.07142857142857142,0.14285714285714285,0,0.21428571428571427,"alainjobart,sougou,guoliang100,shrutip","YouTube,Google",2,168,96.0000000000000000,"YouTube,Google",169,96.5714285714285714,"alainjobart,sougou,guoliang100,shrutip","YouTube,Google",2,165,97.6331360946745562,"YouTube,Google",166,98.2248520710059172,"romanoff,sougou",YouTube,1,2,100.0000000000000000,YouTube,1,50.0000000000000000,"sougou,ryanseddon,lucapette",YouTube,1,4,100.0000000000000000,YouTube,2,50.0000000000000000,,,,,,,,,"sougou,stephenmw,c4pt0r",YouTube,1,6,100.0000000000000000,YouTube,4,66.6666666666666667
2003,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,03/2014,31,156,156,0,0,0,0,5,5,0,0,0,0,2,2,0,0,0,0,5.032258064516129,5.032258064516129,0,0,0,0,"sougou,alainjobart,ryszard,shrutip","YouTube,Google",2,155,99.3589743589743590,"YouTube,Google",155,99.3589743589743590,"sougou,alainjobart,ryszard,shrutip","YouTube,Google",2,155,99.3589743589743590,"YouTube,Google",155,99.3589743589743590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2014-04-01T00:00:00Z,2014-05-01T00:00:00Z,04/2014,30,191,172,3,16,0,4,7,6,1,4,0,4,2,2,0,2,0,1,6.366666666666666,5.733333333333333,0.1,0.5333333333333333,0,0.13333333333333333,"alainjobart,sougou,ryszard,msolo","YouTube,Google",2,175,91.6230366492146597,"YouTube,Google",172,90.0523560209424084,"alainjobart,sougou,ryszard,guoliang100","YouTube,Google",2,162,94.1860465116279070,"YouTube,Google",162,94.1860465116279070,watsonjiang,,0,3,100.0000000000000000,,,,"msolo,alainjobart,sougou,ryszard","YouTube,Google",2,16,100.0000000000000000,"YouTube,Google",10,62.5000000000000000,,,,,,,,,"msolo,solo13,watsonjiang,ryszard",Google,1,4,100.0000000000000000,Google,1,25.0000000000000000
2005,2014-05-01T00:00:00Z,2014-06-01T00:00:00Z,05/2014,31,165,147,1,17,0,5,11,8,1,9,0,4,2,2,0,2,0,2,5.32258064516129,4.741935483870968,0.03225806451612903,0.5483870967741935,0,0.16129032258064516,"alainjobart,sougou,plobsing,guoliang100","YouTube,Google",2,148,89.6969696969696970,"YouTube,Google",164,99.3939393939393939,"alainjobart,sougou,guoliang100,plobsing","YouTube,Google",2,138,93.8775510204081633,"YouTube,Google",147,100.0000000000000000,yusong,,0,1,100.0000000000000000,,,,"alainjobart,plobsing,sougou,timofeyb","YouTube,Google",2,12,70.5882352941176471,"Google,YouTube",17,100.0000000000000000,,,,,,,,,"sougou,abursavich,yusong,msolo","YouTube,Google",2,5,100.0000000000000000,"YouTube,Google",3,60.0000000000000000
2006,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,06/2014,30,191,181,1,9,0,14,11,11,1,4,0,6,2,2,0,2,0,2,6.366666666666666,6.033333333333333,0.03333333333333333,0.3,0,0.4666666666666667,"alainjobart,sougou,ryszard,henryanand","YouTube,Google",2,160,83.7696335078534031,"YouTube,Google",187,97.9057591623036649,"alainjobart,sougou,ryszard,henryanand","YouTube,Google",2,154,85.0828729281767956,"YouTube,Google",178,98.3425414364640884,frederich,,0,1,100.0000000000000000,,,,"alainjobart,timofeyb,ryszard,GarethCOliver","YouTube,Google",2,9,100.0000000000000000,"Google,YouTube",9,100.0000000000000000,,,,,,,,,"alainjobart,timofeyb,frederich,msolo","YouTube,Google",2,12,85.7142857142857143,"YouTube,Google",11,78.5714285714285714
2007,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,07/2014,31,204,187,4,13,0,12,12,10,4,5,0,8,2,2,2,2,0,2,6.580645161290323,6.032258064516129,0.12903225806451613,0.41935483870967744,0,0.3870967741935484,"sougou,enisoc,alainjobart,henryanand","YouTube,Google",2,172,84.3137254901960784,"Google,YouTube",198,97.0588235294117647,"sougou,enisoc,alainjobart,henryanand","YouTube,Google",2,165,88.2352941176470588,"Google,YouTube",184,98.3957219251336898,"ryszard,gadumitrachioaiei,nvcken,sougou","Google,YouTube",2,4,100.0000000000000000,"Google,YouTube",2,50.0000000000000000,"plobsing,alainjobart,sougou,apmichaud","Google,YouTube",2,12,92.3076923076923077,"Google,YouTube",12,92.3076923076923077,,,,,,,,,"gwmullin,alainjobart,sougou,ryszard","YouTube,Google",2,8,66.6666666666666667,"YouTube,Google",6,50.0000000000000000
2008,2014-08-01T00:00:00Z,2014-09-01T00:00:00Z,08/2014,31,235,219,2,14,5,18,11,8,2,7,1,4,3,2,2,2,0,2,7.580645161290323,7.064516129032258,0.06451612903225806,0.45161290322580644,0.16129032258064516,0.5806451612903226,"alainjobart,enisoc,sougou,guoliang100","YouTube,Google",2,217,92.3404255319148936,"YouTube,Google,Kingsoft",228,97.0212765957446809,"alainjobart,enisoc,sougou,guoliang100","YouTube,Google",2,210,95.8904109589041096,"YouTube,Google",215,98.1735159817351598,"siddontang,enisoc","Kingsoft,Google",2,2,100.0000000000000000,"Google,Kingsoft",2,100.0000000000000000,"plobsing,sougou,alainjobart,enisoc","Google,YouTube",2,11,78.5714285714285714,"Google,YouTube",11,78.5714285714285714,cchantep,,0,5,100.0000000000000000,,,,"cchantep,timofeyb,sougou,enisoc","Google,YouTube",2,18,100.0000000000000000,"Google,YouTube",9,50.0000000000000000
2009,2014-09-01T00:00:00Z,2014-10-01T00:00:00Z,09/2014,30,302,296,0,6,1,16,11,10,0,5,1,8,3,3,0,3,1,3,10.066666666666666,9.866666666666667,0,0.2,0.03333333333333333,0.5333333333333333,"alainjobart,enisoc,sougou,henryanand","YouTube,Google",2,259,85.7615894039735099,"YouTube,Google,h2o.ai",272,90.0662251655629139,"alainjobart,enisoc,sougou,henryanand","YouTube,Google",2,256,86.4864864864864865,"YouTube,Google,h2o.ai",268,90.5405405405405405,,,,,,,,,"enisoc,tjyang,msolo,alainjobart","Google,YouTube",2,5,83.3333333333333333,"Google,h2o.ai,YouTube",4,66.6666666666666667,sougou,YouTube,1,1,100.0000000000000000,YouTube,1,100.0000000000000000,"cchantep,tjyang,henryanand,sougou","Google,YouTube",2,10,62.5000000000000000,"Google,YouTube,h2o.ai",8,50.0000000000000000
2010,2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,10/2014,31,473,364,5,104,3,77,15,13,2,12,3,11,2,2,1,2,2,2,15.258064516129032,11.741935483870968,0.16129032258064516,3.3548387096774195,0.0967741935483871,2.4838709677419355,"alainjobart,sougou,henryanand,enisoc","YouTube,Google",2,384,81.1839323467230444,"YouTube,Google",450,95.1374207188160677,"alainjobart,sougou,henryanand,enisoc","YouTube,Google",2,307,84.3406593406593407,"YouTube,Google",346,95.0549450549450549,"zhengyang4k,aaijazi",Google,1,5,100.0000000000000000,Google,2,40.0000000000000000,"enisoc,alainjobart,sougou,plobsing","Google,YouTube",2,80,76.9230769230769231,"Google,YouTube",102,98.0769230769230769,"alainjobart,sougou,enisoc","YouTube,Google",2,3,100.0000000000000000,"YouTube,Google",3,100.0000000000000000,"enisoc,sougou,alainjobart,henryanand","Google,YouTube",2,64,83.1168831168831169,"Google,YouTube",71,92.2077922077922078
2011,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,11/2014,30,235,141,7,87,13,68,14,11,4,12,3,11,2,2,2,2,2,2,7.833333333333333,4.7,0.23333333333333334,2.9,0.43333333333333335,2.2666666666666666,"sougou,alainjobart,enisoc,shrutip","YouTube,Google",2,187,79.5744680851063830,"YouTube,Google",224,95.3191489361702128,"sougou,alainjobart,enisoc,henryanand","YouTube,Google",2,118,83.6879432624113475,"YouTube,Google",137,97.1631205673758865,"enisoc,toontong,sougou,flimzy","Google,YouTube",2,7,100.0000000000000000,"Google,YouTube",4,57.1428571428571429,"sougou,enisoc,alainjobart,shrutip","YouTube,Google",2,65,74.7126436781609195,"Google,YouTube",83,95.4022988505747126,"aaijazi,alainjobart,enisoc","Google,YouTube",2,13,100.0000000000000000,"Google,YouTube",13,100.0000000000000000,"alainjobart,sougou,enisoc,aaijazi","YouTube,Google",2,54,79.4117647058823529,"YouTube,Google",64,94.1176470588235294
2012,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,12/2014,31,668,489,4,175,81,201,17,14,3,14,11,14,5,4,1,5,2,4,21.548387096774192,15.774193548387096,0.12903225806451613,5.645161290322581,2.6129032258064515,6.483870967741935,"alainjobart,henryanand,sougou,yaoshengzhe","YouTube,Google",2,474,70.9580838323353293,"Google,YouTube,Koding,DigitalOcean",616,92.2155688622754491,"henryanand,alainjobart,sougou,yaoshengzhe","Google,YouTube",2,375,76.6871165644171779,"Google,YouTube,Koding,DigitalOcean",447,91.4110429447852761,"enisoc,yudelevi,yaoshengzhe",Google,1,4,100.0000000000000000,Google,3,75.0000000000000000,"alainjobart,enisoc,sougou,yaoshengzhe","YouTube,Google",2,126,72.0000000000000000,"Google,YouTube,DigitalOcean,DrEd Online Doctor",166,94.8571428571428571,"sougou,guokeno0,aaijazi,enisoc","YouTube,Google",2,50,61.7283950617283951,"Google,YouTube",69,85.1851851851851852,"alainjobart,enisoc,aaijazi,sougou","YouTube,Google",2,138,68.6567164179104478,"Google,YouTube,DigitalOcean,Koding",192,95.5223880597014925
2013,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,01/2015,31,429,238,13,178,47,163,14,8,6,12,11,13,3,2,3,3,3,4,13.838709677419354,7.67741935483871,0.41935483870967744,5.741935483870968,1.5161290322580645,5.258064516129032,"alainjobart,enisoc,sougou,henryanand","YouTube,Google",2,321,74.8251748251748252,"Google,YouTube,Reliance",425,99.0675990675990676,"alainjobart,enisoc,sougou,henryanand","YouTube,Google",2,195,81.9327731092436975,"YouTube,Google",238,100.0000000000000000,"enisoc,rushiagr,aaijazi,amygdala","Google,Reliance",2,11,84.6153846153846154,"Google,Reliance,YouTube",12,92.3076923076923077,"enisoc,alainjobart,sougou,guoliang100","Google,YouTube",2,123,69.1011235955056180,"Google,YouTube,Reliance",175,98.3146067415730337,"sougou,enisoc,alainjobart,aaijazi","YouTube,Google",2,35,74.4680851063829787,"Google,YouTube,Koding",45,95.7446808510638298,"sougou,alainjobart,enisoc,guoliang100","YouTube,Google",2,138,84.6625766871165644,"YouTube,Google,Reliance,Koding",157,96.3190184049079755
2014,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,02/2015,28,294,166,6,122,57,174,15,8,5,12,8,15,2,2,1,2,2,3,10.5,5.928571428571429,0.21428571428571427,4.357142857142857,2.0357142857142856,6.214285714285714,"alainjobart,yaoshengzhe,aaijazi,enisoc","YouTube,Google",2,204,69.3877551020408163,"Google,YouTube",289,98.2993197278911565,"alainjobart,aaijazi,yaoshengzhe,sougou","YouTube,Google",2,127,76.5060240963855422,"Google,YouTube",166,100.0000000000000000,"mitiger,yaoshengzhe,lihezh,enisoc",Google,1,5,83.3333333333333333,Google,2,33.3333333333333333,"yaoshengzhe,alainjobart,aaijazi,enisoc","Google,YouTube",2,80,65.5737704918032787,"Google,YouTube",121,99.1803278688524590,"sougou,aaijazi,michael-berlin,alainjobart","YouTube,Google",2,46,80.7017543859649123,"Google,YouTube",57,100.0000000000000000,"enisoc,alainjobart,sougou,yaoshengzhe","Google,YouTube",2,101,58.0459770114942529,"Google,YouTube,Reliance",165,94.8275862068965517
2015,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,03/2015,31,409,218,23,168,95,211,19,10,9,15,10,14,4,2,3,4,2,4,13.193548387096774,7.032258064516129,0.7419354838709677,5.419354838709677,3.064516129032258,6.806451612903226,"alainjobart,yaoshengzhe,aaijazi,sougou","YouTube,Google",2,290,70.9046454767726161,"Google,YouTube,Netroby,Reliance",401,98.0440097799511002,"alainjobart,sougou,aaijazi,yaoshengzhe","YouTube,Google",2,179,82.1100917431192661,"YouTube,Google",218,100.0000000000000000,"netroby,mitiger,aaijazi,enisoc","Netroby,Google",2,18,78.2608695652173913,"Netroby,Google,YouTube",18,78.2608695652173913,"yaoshengzhe,alainjobart,sougou,aaijazi","Google,YouTube",2,107,63.6904761904761905,"Google,YouTube,Netroby,Reliance",165,98.2142857142857143,"alainjobart,yaoshengzhe,enisoc,sougou","YouTube,Google",2,70,73.6842105263157895,"Google,YouTube",94,98.9473684210526316,"alainjobart,sougou,enisoc,aaijazi","YouTube,Google",2,138,65.4028436018957346,"YouTube,Google,Netroby,Reliance",190,90.0473933649289100
2016,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,04/2015,30,455,240,9,206,70,161,14,10,7,10,10,12,2,2,2,2,2,2,15.166666666666666,8,0.3,6.866666666666666,2.3333333333333335,5.366666666666666,"yaoshengzhe,alainjobart,enisoc,sougou","Google,YouTube",2,343,75.3846153846153846,"Google,YouTube",450,98.9010989010989011,"alainjobart,yaoshengzhe,enisoc,sougou","YouTube,Google",2,186,77.5000000000000000,"Google,YouTube",240,100.0000000000000000,"yaoshengzhe,Juckey,augustoroman,mitiger",Google,1,6,66.6666666666666667,"Google,YouTube",4,44.4444444444444444,"yaoshengzhe,enisoc,sougou,alainjobart","Google,YouTube",2,153,74.2718446601941748,"Google,YouTube",206,100.0000000000000000,"yaoshengzhe,alainjobart,sougou,enisoc","Google,YouTube",2,52,74.2857142857142857,"Google,YouTube",70,100.0000000000000000,"sougou,alainjobart,yaoshengzhe,enisoc","YouTube,Google",2,121,75.1552795031055901,"Google,YouTube",156,96.8944099378881988
